building_count,divipola,source,name,department,total_rooftop_sqm,mean_area_sqm,min_confidence_used,computed_at,median_area_sqm
8480,54670,google,SAN CALIXTO,NORTE DE SANTANDER,600719.75,70.84,,2026-05-24T02:58:48+00:00,54.12
6459,19364,google,JAMBALÓ,CAUCA,410966.99,63.63,,2026-05-24T02:58:48+00:00,48.58
15164,70823,google,TOLÚ VIEJO,SUCRE,958880.03,63.23,,2026-05-24T02:58:48+00:00,46.78
6753,50325,google,MAPIRIPÁN,META,514979.72,76.26,,2026-05-24T02:58:48+00:00,50.19
7361,18756,google,SOLANO,CAQUETÁ,708539.88,96.26,,2026-05-24T02:58:48+00:00,65.23
37193,05045,google,APARTADÓ,ANTIOQUIA,3698961.79,99.45,,2026-05-24T02:58:48+00:00,66.51
4290,18205,google,CURILLO,CAQUETÁ,439650.96,102.48,,2026-05-24T02:58:48+00:00,73.59
10572,05895,google,ZARAGOZA,ANTIOQUIA,689285.16,65.2,,2026-05-24T02:58:48+00:00,46.31
596,52473,google,MOSQUERA,NARIÑO,39960.54,67.05,,2026-05-24T02:58:48+00:00,60.34
17360,86320,google,ORITO,PUTUMAYO,1571853.42,90.54,,2026-05-24T02:58:48+00:00,69.3
3340,70230,google,CHALÁN,SUCRE,218968.57,65.56,,2026-05-24T02:58:48+00:00,54.19
1942,52390,google,LA TOLA,NARIÑO,153304.37,78.94,,2026-05-24T02:58:48+00:00,66.98
11820,05790,google,TARAZÁ,ANTIOQUIA,836401.45,70.76,,2026-05-24T02:58:48+00:00,54.91
6368,27006,google,ACANDÍ,CHOCÓ,461402.63,72.46,,2026-05-24T02:58:48+00:00,57.24
18710,73168,google,CHAPARRAL,TOLIMA,1726819.65,92.29,,2026-05-24T02:58:48+00:00,64.73
5758,05480,google,MUTATÁ,ANTIOQUIA,491148.93,85.3,,2026-05-24T02:58:48+00:00,57.61
12657,19075,google,BALBOA,CAUCA,880453.26,69.56,,2026-05-24T02:58:48+00:00,52.74
9918,13212,google,CÓRDOBA,BOLÍVAR,657483.8,66.29,,2026-05-24T02:58:48+00:00,52.44
11253,13473,google,MORALES,BOLÍVAR,825189.04,73.33,,2026-05-24T02:58:48+00:00,51.82
